size,quick bst,merge bst,quick avg,merge avg,quick worst,merge worst
55400,0,5605000,10080000,0,15710000,0
55500,0,0,5592000,10086000,15714000,0
55600,0,0,0,5583000,0,0
55700,0,15709000,0,0,15627000,0
55800,0,0,5591000,10100000,0,15720000
55900,15633000,0,0,5583000,0,0
56000,0,0,15701000,0,16089000,0
56100,15862000,0,0,15713000,10003000,0
56200,0,0,15924000,0,5584000,10091000
56300,0,0,0,15624000,10091000,16229000
56400,0,15966000,0,0,5585000,10080000
56500,10102000,0,16070000,0,0,5584000
56600,0,5600000,10082000,0,0,0
56700,0,0,5095000,10082000,15718000,0
56800,0,15706000,0,5582000,0,0
56900,0,0,5087000,10081000,0,15725000
57000,0,15710000,0,5589000,0,0
57100,0,0,15711000,0,16905000,0
57200,16085000,0,0,15712000,10090000,0
57300,0,15598000,0,0,16225000,0
57400,0,0,15714000,0,0,15891000
57500,0,15869000,0,15706000,15670000,0
57600,0,10090000,16335000,0,0,5099000
57700,0,5592000,10080000,0,15633000,0
57800,0,0,5511000,10098000,0,15626000
57900,0,0,5588000,10090000,15725000,0
58000,15712000,0,0,6081000,0,0
58100,0,0,15711000,0,15987000,0
58200,16326000,0,0,15713000,10082000,0
58300,0,0,16311000,0,0,5107000
58400,0,15854000,0,15625000,10079000,0
58500,10088000,0,16305000,0,0,5089000
58600,0,5585000,10098000,0,15712000,0
58700,15711000,0,0,5595000,0,0
58800,0,0,15717000,0,10090000,16169000
58900,0,15614000,0,0,16058000,0
59000,0,0,15719000,0,0,16118000
59100,0,15884000,0,0,5602000,10088000
59200,10080000,0,15813000,0,0,5590000
59300,0,5096000,10093000,981000,15708000,0
59400,0,0,5590000,10085000,0,15714000
59500,0,5095000,10082000,0,15715000,0
59600,15729000,0,0,5591000,0,0
59700,0,0,15714000,0,0,15944000
59800,0,16078000,0,0,15681000,0
59900,0,0,15619000,0,10083000,16269000
60000,0,461000,15624000,0,5582000,10091000
60100,5582000,10084000,0,15911000,0,0
60200,0,0,15680000,0,15710000,0
60300,15713000,0,0,5594000,0,0
60400,0,0,15706000,0,0,15633000
60500,0,15711000,0,0,16426000,0
60600,0,0,15714000,0,10099000,16089000
60700,0,15843000,0,0,5590000,10076000
60800,5589000,10087000,0,15985000,0,0
60900,0,0,5594000,10079000,0,15719000
61000,0,5585000,10093000,16124000,15723000,0
61100,15713000,0,0,5591000,0,0
61200,0,0,15713000,0,0,16123000
61300,0,15867000,0,0,5597000,10077000
61400,0,5590000,10085000,0,15720000,0
61500,5589000,10084000,0,15758000,15708000,0
61600,0,0,5597000,10082000,0,15714000
61700,0,0,15709000,0,16210000,0
61800,0,15877000,0,0,5502000,10003000
61900,0,16088000,0,0,5587000,10085000
62000,5590000,10078000,0,15863000,0,0
62100,0,0,5584000,10100000,0,15718000
62200,0,0,15718000,0,0,16145000
62300,0,15884000,0,0,5594000,10077000
62400,16217000,0,0,15629000,10091000,0
62500,10077000,0,15777000,0,0,5588000
62600,0,0,15676000,0,15724000,0
62700,0,15725000,0,5534000,15789000,0
62800,16031000,0,0,15719000,10085000,0
62900,0,0,15629000,0,0,16292000
63000,10085000,0,15724000,0,0,5598000
63100,0,0,5609000,10077000,0,15713000
63200,0,0,15715000,0,10086000,15892000
63300,0,0,15951000,0,5583000,10077000
63400,0,15776000,0,0,5587000,10086000
63500,0,5585000,10077000,15843000,15729000,0
63600,15724000,0,0,5586000,0,0
63700,0,0,15707000,0,10085000,0
63800,16131000,0,15623000,0,10094000,0
63900,10087000,0,15877000,0,0,5583000
