array_size,best_time,worst_time,avg_time
70800,6.058795,6.523352,6.081532
71000,6.273696,6.193707,6.325768
71200,5.843489,6.560485,6.118259
71400,6.094284,6.644966,6.347314
71600,6.010249,6.412149,6.144927
71800,5.447151,4.317373,3.964238
72000,4.677326,5.206005,6.437398
72200,5.175795,4.894599,5.376039
72400,6.521165,6.827853,6.499496
72600,6.561709,6.842856,6.425067
72800,6.684935,6.859835,6.563226
73000,5.506551,7.300289,6.561661
73200,6.664373,6.906079,6.506739
73400,6.736717,7.045794,6.581796
73600,6.686134,7.031462,6.869692
73800,6.756589,7.203464,6.902261
74000,6.901915,7.364558,6.896156
74200,6.848599,7.238066,10.153924
74400,6.560697,7.057783,7.197478
74600,6.743497,8.279124,8.017384
74800,6.953990,7.609949,7.617239
75000,7.279849,7.735586,7.661200
75200,5.653628,7.205677,7.947006
75400,6.711427,7.844010,6.614916
75600,7.297826,4.617960,6.021954
75800,6.705628,6.949553,8.629139
76000,7.238217,7.683990,7.285851
76200,8.238871,8.891946,8.680770
76400,7.631985,7.856102,6.754865
76600,10.902986,9.492619,9.349118
76800,8.063385,7.046483,6.101235
77000,7.635325,7.109328,8.897583
77200,8.357152,8.627151,7.699767
77400,9.305169,10.355131,5.329055
77600,5.175247,5.848306,7.272838
77800,6.601751,6.462756,6.944784
78000,7.621555,7.894667,7.731125
78200,6.447947,7.028024,6.676117
78400,8.295216,8.994610,7.355550
78600,8.517028,8.913837,8.557903
78800,8.696444,9.037225,8.516177
79000,8.364120,8.888815,8.426083
79200,8.527753,9.166727,8.764330
79400,7.768191,4.626563,3.431342
79600,6.588189,8.437887,7.645378
79800,6.343229,8.963048,7.568383
80000,7.815027,8.554191,7.478123
80200,7.477919,7.922412,7.214829
80400,7.243985,8.559347,7.570703
80600,7.459122,7.031288,6.172616
80800,7.278239,7.807266,6.909074
81000,6.305467,6.765586,7.125814
81200,5.119819,4.896977,5.118251
81400,4.633263,4.971065,4.869262
81600,6.160946,7.464998,7.014019
81800,8.895829,8.473627,5.570366
82000,8.111214,7.886076,7.925312
82200,7.400565,8.098799,8.171271
82400,4.901839,4.804940,4.724163
82600,5.251053,5.154229,5.863904
82800,7.542967,4.864675,5.126209
83000,9.981636,7.952679,7.824483
83200,7.946964,8.193525,8.300960
83400,9.237065,9.149778,9.466007
83600,7.268426,8.097315,7.386784
83800,5.526462,7.400738,8.443355
84000,5.120099,5.866226,5.370436
84200,4.813765,9.846784,8.833383
84400,10.876234,9.093684,9.754207
84600,11.101166,8.967774,9.892197
84800,9.739645,7.990016,8.729813
85000,5.614084,6.815660,5.931006
85200,6.142954,5.712910,4.985337
85400,8.939033,5.662811,5.636749
85600,5.818424,6.249114,9.017967
85800,8.599357,8.888727,7.646074
86000,8.130189,9.266220,9.147520
86200,8.873097,8.237751,8.794541
86400,8.068586,8.695934,8.644291
86600,8.574194,7.972260,8.860778
86800,7.366422,6.672631,8.476255
87000,8.326493,9.084038,7.963321
87200,8.222811,8.608201,8.285304
87400,8.380071,8.852260,8.290556
87600,8.195609,8.828010,8.447010
87800,8.936605,8.695774,8.747385
88000,8.231916,8.706980,8.529246
88200,8.640049,8.968885,8.173316
88400,7.124823,6.441205,6.148959
88600,5.806584,7.074173,6.562156
88800,6.262390,6.756800,6.409238
89000,7.413428,7.690717,7.730922
89200,6.982199,6.762626,6.196852
89400,7.366371,7.385918,6.587989
89600,6.669832,6.734671,6.556478
89800,7.110392,6.882944,6.140116
90000,6.359817,6.617814,6.557843
90200,6.321814,6.974304,6.376152
90400,6.629639,7.132365,6.851583
90600,4.020390,6.164080,9.129984
90800,8.458283,9.185232,8.415627
91000,9.393446,10.423172,8.190481
91200,9.049597,9.409041,9.297775
91400,8.941919,9.351571,8.980348
91600,8.926958,10.205312,9.076007
91800,9.021389,9.395067,9.410530
92000,9.159345,9.614014,8.998087
92200,9.126097,9.501793,8.817052
92400,8.947490,9.441732,9.179708
92600,9.128859,9.305185,8.807044
92800,9.142519,9.533768,9.144341
93000,9.228560,9.820028,9.500623
93200,9.420438,9.887448,9.523038
93400,9.335214,9.936983,9.418964
93600,9.697931,10.110893,9.595304
93800,9.285324,9.858277,9.404903
94000,9.217555,9.722236,9.208405
94200,9.234014,9.849921,10.126918
94400,9.747705,10.238227,9.823518
94600,9.567346,10.791067,9.632160
94800,9.756246,9.522974,9.375954
95000,9.154322,10.032993,9.475867
95200,9.789120,10.129843,9.463779
95400,9.577856,10.479578,10.080672
95600,10.177031,10.658597,10.216036
95800,9.930882,10.508167,9.938094
96000,10.040142,10.698902,9.964273
96200,10.107957,11.244481,10.961238
96400,10.448638,10.641036,10.032604
96600,10.391009,10.790716,10.199431
96800,10.445186,11.208578,10.426362
