array_size,best_time,worst_time,avg_time
62800,0.000251,6.065908,0.001367
63000,0.000224,5.723899,0.000622
63200,0.000160,5.963145,0.000763
63400,0.000283,6.093725,0.188102
63600,0.000224,6.060052,0.166129
63800,0.000293,5.721013,0.019604
64000,0.000390,4.677287,0.185601
64200,0.000226,5.202077,0.024473
64400,0.000215,4.651446,0.099374
64600,0.000163,6.200391,0.033960
64800,0.000177,6.402093,0.207116
65000,0.000290,6.039069,0.178921
65200,0.000291,5.955683,0.195438
65400,0.000292,6.213022,0.096247
65600,0.000187,6.679684,0.002526
65800,0.000290,7.801644,0.002125
66000,0.000184,7.102268,0.002843
66200,0.000164,6.127231,0.003228
66400,0.000168,5.370214,0.002885
66600,0.000303,7.270016,0.003247
66800,0.000161,5.299893,0.002652
67000,0.000142,7.027865,0.002436
67200,0.000320,8.265354,0.002466
67400,0.000228,4.828774,0.001619
67600,0.000184,6.767986,0.001769
67800,0.000136,7.978588,0.003660
68000,0.000288,4.547221,0.002881
68200,0.000178,7.078927,0.001948
68400,0.000274,6.649425,0.003004
68600,0.000435,7.058004,0.001200
68800,0.000290,6.705460,0.001966
69000,0.000368,4.957904,0.001436
69200,0.000292,7.144397,0.002632
69400,0.000315,7.050563,0.001625
69600,0.000176,7.072964,0.002558
69800,0.000334,7.406187,0.002711
70000,0.000223,6.943052,0.001102
70200,0.000619,7.786164,0.001742
70400,0.000239,5.215493,0.003230
70600,0.000255,5.809099,0.002320
70800,0.000321,4.478058,0.003527
71000,0.000317,7.003011,0.001494
71200,0.000276,7.839800,0.001514
71400,0.000319,7.857532,0.001076
71600,0.000181,7.561670,0.002791
71800,0.000309,7.289740,0.002560
72000,0.000197,6.635385,0.001803
72200,0.000324,7.546627,0.001143
72400,0.000104,7.400349,0.001140
72600,0.000336,7.841300,0.002381
72800,0.000331,7.829752,0.002625
73000,0.000191,8.964858,0.002777
73200,0.000307,8.281385,0.001733
73400,0.000501,8.169930,0.002328
73600,0.000329,8.430138,0.002800
73800,0.000350,8.414141,0.002598
74000,0.000335,8.527935,0.001776
74200,0.000197,8.334031,0.002576
74400,0.000442,5.401352,0.001648
74600,0.000515,9.848997,0.002056
74800,0.000382,9.943614,0.002325
75000,0.000111,8.468013,0.003074
75200,0.000343,8.178156,0.002382
75400,0.000246,9.535339,0.002948
75600,0.000257,7.297235,0.002835
75800,0.000394,7.978765,0.002298
76000,0.000407,9.121473,0.002490
76200,0.000273,8.834062,0.003118
76400,0.000380,9.900039,0.001647
76600,0.000347,11.314578,0.009561
76800,0.000393,12.488135,0.003143
77000,0.000119,10.720903,0.003424
77200,0.000149,10.865788,0.003871
77400,0.000385,11.701569,0.003755
77600,0.000261,7.977368,0.001788
77800,0.000348,8.965650,0.002318
78000,0.000469,9.623916,0.003184
78200,0.000463,12.519051,0.002322
78400,0.000430,9.302268,0.002875
78600,0.000400,10.328186,0.002521
78800,0.000364,10.513542,0.002882
79000,0.000381,10.340053,0.003164
79200,0.000463,10.789095,0.003147
79400,0.000251,10.778160,0.003082
79600,0.000129,5.757440,0.001391
79800,0.000199,8.543555,0.002237
80000,0.000232,7.846052,0.002889
80200,0.000302,12.450853,0.003432
80400,0.000217,9.658933,0.003609
80600,0.000884,9.468978,0.003408
80800,0.000582,9.571193,0.004823
81000,0.000307,8.860699,0.002191
81200,0.000490,7.859942,0.003418
81400,0.000185,5.755227,0.002319
81600,0.000269,7.905919,0.003251
81800,0.000299,10.316741,0.003055
82000,0.000277,8.645495,0.003019
82200,0.000330,9.566625,0.003972
82400,0.000312,10.716566,0.003055
82600,0.000307,5.838883,0.001999
82800,0.000280,10.459053,0.003496
83000,0.000151,11.344511,0.003168
83200,0.000373,9.002548,0.002837
83400,0.000598,15.634795,0.003993
83600,0.000374,11.176537,0.003667
83800,0.000314,8.934943,0.002119
84000,0.000237,10.200814,0.002072
84200,0.000238,6.341229,0.003487
84400,0.000522,11.201221,0.005084
84600,0.000330,10.925954,0.002931
84800,0.000425,12.033359,0.003790
85000,0.000230,11.655345,0.002747
85200,0.000183,7.830167,0.001845
85400,0.000201,7.495397,0.004568
85600,0.000305,7.510309,0.003603
85800,0.000243,11.920852,0.003900
86000,0.000375,10.411019,0.003746
86200,0.000331,12.443448,0.003623
86400,0.000307,11.522804,0.003514
86600,0.000376,11.179374,0.003572
86800,0.000591,9.114312,0.002726
87000,0.000409,11.147553,0.003962
87200,0.000446,10.760808,0.003976
87400,0.000348,10.687438,0.003789
87600,0.000392,11.271521,0.005217
87800,0.000329,10.882775,0.004152
88000,0.000505,11.128200,0.005578
88200,0.000483,10.624544,0.002353
88400,0.000363,10.154888,0.004489
88600,0.000172,8.195739,0.003287
88800,0.000208,8.145809,0.002766
89000,0.000196,8.732213,0.002626
89200,0.000301,9.384157,0.003969
89400,0.000189,8.773175,0.002351
89600,0.000288,8.341938,0.002828
89800,0.000257,8.569700,0.002507
90000,0.000250,8.841625,0.004032
90200,0.000303,8.310190,0.002844
90400,0.000228,8.132751,0.003885
90600,0.000313,9.685834,0.002965
